sex,stars,age,restaurant,id,race
Female,4,28,Burger King,229,White
Female,5,31,Taco Bell,230,White
Male,1,35,McDonald,231,Black
Female,5,39,McDonald,232,Other
Female,3,36,McDonald,233,Other
Male,5,30,Burger King,234,Black
Male,1,30,KFC,235,Hispanic
Male,3,35,McDonald,236,Hispanic
Male,5,27,Taco Bell,237,Hispanic
Male,5,35,McDonald,238,Hispanic
Male,3,36,Taco Bell,239,Hispanic
Female,1,32,McDonald,240,Hispanic
Male,3,43,Burger King,241,Hispanic
Female,3,34,Burger King,242,White
Male,5,26,Taco Bell,243,White
Male,2,28,Burger King,244,Hispanic
Male,1,38,McDonald,245,Other
Male,1,26,Burger King,246,Hispanic
Male,3,31,Taco Bell,247,White
Male,3,27,McDonald,248,Hispanic
Male,4,27,McDonald,249,White
Male,4,31,Burger King,250,White
Female,5,32,Burger King,251,Black
Male,4,35,McDonald,252,Black
Male,2,35,Burger King,253,Hispanic
Male,3,28,Burger King,254,White
Female,3,30,Taco Bell,255,White
Female,4,33,KFC,256,White
Male,4,27,Taco Bell,257,Black
Female,5,23,Taco Bell,258,White
Male,4,41,McDonald,259,Black
Male,5,33,Burger King,260,Hispanic
Female,2,32,KFC,261,Hispanic
Female,4,28,McDonald,262,White
Male,5,41,KFC,263,Hispanic
Female,5,26,KFC,264,Black
Female,1,36,McDonald,265,White
Male,4,27,McDonald,266,Other
Male,4,29,Taco Bell,267,Other
Female,2,36,KFC,268,White
Male,1,29,Burger King,269,White
Female,4,34,Burger King,270,White
Female,2,28,Taco Bell,271,Hispanic
Female,1,34,McDonald,272,White
Female,2,32,McDonald,273,Black
Female,2,26,McDonald,274,Other
Female,5,35,Taco Bell,275,Black
Male,2,16,McDonald,276,Other
Male,1,21,McDonald,277,Black
Male,1,29,Taco Bell,278,Hispanic
Male,3,37,McDonald,279,Black
Male,3,31,Taco Bell,280,Black
Male,4,23,KFC,281,Other
Male,4,30,Burger King,282,Hispanic
Male,2,21,KFC,283,Hispanic
Male,4,31,McDonald,284,Other
Male,1,38,KFC,285,Hispanic
Male,4,32,KFC,286,Hispanic
Female,2,29,Taco Bell,287,Hispanic
Male,5,29,KFC,288,Hispanic
Male,3,27,Taco Bell,289,Black
Female,4,29,Taco Bell,290,Other
Female,3,33,KFC,291,Black
Female,4,33,KFC,292,Other
Female,5,31,Taco Bell,293,Other
Male,5,24,KFC,294,Black
Female,4,26,McDonald,295,White
Male,1,33,McDonald,296,Other
Female,4,25,Burger King,297,Black
Male,2,37,McDonald,298,Black
Female,1,33,Taco Bell,299,White
Male,3,30,KFC,300,Other
Male,4,30,KFC,301,White
Female,2,32,KFC,302,White
Female,1,23,Burger King,303,White
Male,1,38,KFC,304,Other
Female,1,34,Taco Bell,305,Other
Female,1,30,KFC,306,White
Female,4,26,Burger King,307,Black
Female,1,30,Burger King,308,White
Male,2,32,Burger King,309,Black
Male,2,29,McDonald,310,Hispanic
Female,4,36,McDonald,311,Other
Female,4,31,KFC,312,Hispanic
Male,1,34,Taco Bell,313,White
Male,3,22,McDonald,314,Hispanic
Male,3,34,McDonald,315,White
Male,4,25,Burger King,316,Other
Female,5,29,Burger King,317,Black
Male,2,26,McDonald,318,Black
Male,4,38,Taco Bell,319,Hispanic
Male,1,37,Burger King,320,Hispanic
Male,4,25,McDonald,321,White
Female,5,28,McDonald,322,Other
Male,2,28,Taco Bell,323,Other
Female,2,32,KFC,324,Hispanic
Male,4,21,KFC,325,White
Female,4,32,KFC,326,Black
Male,3,23,Burger King,327,Hispanic
Female,5,36,Taco Bell,328,White
Female,3,26,KFC,329,Black
Female,5,28,McDonald,330,Other
Female,2,31,McDonald,331,White
Female,3,33,KFC,332,Other
Female,1,26,Taco Bell,333,Black
Female,1,29,Taco Bell,334,Other
Male,5,23,Burger King,335,White
Male,4,30,McDonald,336,White
Male,2,28,Taco Bell,337,White
Female,1,24,Taco Bell,338,Hispanic
Male,4,27,KFC,339,Black
Male,2,28,McDonald,340,Other
Female,2,32,McDonald,341,Hispanic
Male,3,35,KFC,342,Black
Male,1,35,Burger King,343,Other
Male,3,30,Taco Bell,344,White
Male,5,29,KFC,345,White
Female,3,34,Taco Bell,346,Hispanic
Female,3,35,KFC,347,Hispanic
Male,2,31,Taco Bell,348,White
Male,4,27,Burger King,349,Black
Male,4,30,Taco Bell,350,Hispanic
Male,3,32,Taco Bell,351,Hispanic
Female,4,25,Taco Bell,352,Other
Female,1,31,Taco Bell,353,White
Male,1,31,Burger King,354,Black
Male,2,39,Taco Bell,355,White
Male,1,23,Taco Bell,356,White
Female,1,29,McDonald,357,White
Female,5,34,Burger King,358,White
Male,2,31,Burger King,359,Hispanic
Male,4,29,Burger King,360,Other
Male,4,33,Burger King,361,Other
Male,1,19,Burger King,362,Other
Female,3,30,Taco Bell,363,Hispanic
Male,5,39,McDonald,364,Hispanic
Female,1,24,McDonald,365,White
Male,2,38,Taco Bell,366,Hispanic
Female,1,28,Taco Bell,367,Black
Male,2,24,KFC,368,White
Male,2,31,Taco Bell,369,Other
Female,2,35,McDonald,370,Black
Male,2,31,KFC,371,Black
Male,4,31,KFC,372,Black
Female,4,25,McDonald,373,White
Female,2,28,Burger King,374,Other
Male,4,37,McDonald,375,Hispanic
Female,2,39,KFC,376,Other
Female,1,34,Taco Bell,377,White
Male,3,23,Burger King,378,White
Female,2,29,Taco Bell,379,Hispanic
Male,2,36,KFC,380,White
Female,1,31,McDonald,381,Hispanic
Male,3,37,Taco Bell,382,White
Male,2,36,KFC,383,Hispanic
Male,1,26,McDonald,384,Hispanic
Female,3,32,KFC,385,White
Male,3,32,Taco Bell,386,Other
Female,1,34,Burger King,387,Hispanic
Female,5,33,KFC,388,Hispanic
Male,1,26,Taco Bell,389,Hispanic
Female,2,26,Taco Bell,390,White
Male,1,27,KFC,391,Black
Female,5,26,Taco Bell,392,Other
Female,2,32,Burger King,393,Black
Male,1,33,Taco Bell,394,Black
Male,4,37,KFC,395,White
Male,4,30,KFC,396,Black
Female,2,25,Taco Bell,397,Black
Female,2,29,KFC,398,White
Female,1,33,KFC,399,Other
Male,2,40,McDonald,400,Hispanic
Female,1,38,KFC,401,Other
Male,4,29,McDonald,402,Other
Male,2,23,Burger King,403,White
Male,5,34,Burger King,404,Black
Female,5,38,Taco Bell,405,White
Male,3,33,Burger King,406,White
Male,2,39,McDonald,407,Black
Male,3,30,Burger King,408,Hispanic
Male,5,25,Taco Bell,409,White
Female,3,34,Burger King,410,Black
Male,4,28,McDonald,411,Hispanic
Female,2,29,Burger King,412,Other
Male,2,30,Taco Bell,413,Hispanic
Female,4,23,Burger King,414,Hispanic
Female,5,29,KFC,415,Black
Female,1,29,McDonald,416,Black
Female,1,30,KFC,417,White
Male,1,26,KFC,418,Hispanic
Female,5,31,Taco Bell,419,White
Male,3,33,KFC,420,White
Male,1,32,McDonald,421,White
Male,4,22,Taco Bell,422,Black
Male,4,23,McDonald,423,Black
Female,2,25,McDonald,424,White
Male,2,30,Taco Bell,425,Black
Female,1,34,KFC,426,Hispanic
Male,5,34,Burger King,427,Black
Male,4,25,KFC,428,White
Female,4,35,Taco Bell,429,Other
Female,3,27,KFC,430,Other
Male,3,29,McDonald,431,Black
Male,2,35,KFC,432,Other
Male,4,23,McDonald,433,Black
Male,3,27,McDonald,434,Other
Male,4,28,KFC,435,Other
Female,2,30,Burger King,436,Black
Male,5,30,Taco Bell,437,Hispanic
Female,2,33,McDonald,438,White
Female,5,30,McDonald,439,Other
Male,2,29,Burger King,440,Hispanic
Female,2,31,McDonald,441,White
Female,1,31,McDonald,442,Hispanic
Male,1,26,Taco Bell,443,White
Female,2,28,McDonald,444,Black
Male,4,34,KFC,445,White
Male,3,25,Burger King,446,Black
Male,2,29,KFC,447,White
Female,5,19,Burger King,448,White
Male,1,31,McDonald,449,Other
Female,4,33,Taco Bell,450,Other
Male,1,31,KFC,451,Hispanic
Male,4,29,Taco Bell,452,Black
Female,4,37,Burger King,453,White
Female,5,29,KFC,454,Black
Male,1,26,KFC,455,White
Male,2,27,Taco Bell,456,White
Female,3,23,Taco Bell,457,Other
Female,3,17,Burger King,458,Black
Male,3,35,Taco Bell,459,Other
Male,2,31,KFC,460,Black
Female,2,33,Taco Bell,461,Hispanic
Female,1,22,Taco Bell,462,Hispanic
Male,5,27,KFC,463,White
Male,3,30,Burger King,464,White
Female,3,30,KFC,465,Black
Female,2,23,Taco Bell,466,White
Female,3,30,KFC,467,Black
Female,1,36,KFC,468,White
Female,4,32,Burger King,469,Hispanic
Male,2,32,Burger King,470,Hispanic
Female,2,32,McDonald,471,White
Female,4,30,Burger King,472,Black
Male,3,28,McDonald,473,Black
Male,1,22,Burger King,474,Other
Female,3,27,McDonald,475,Other
Female,4,40,Burger King,476,White
Male,2,23,Taco Bell,477,Other
Male,4,36,McDonald,478,Other
Male,4,27,KFC,479,White
Female,2,28,KFC,480,Black
Male,2,26,KFC,481,Other
Male,1,31,Burger King,482,White
Female,5,37,McDonald,483,White
Female,2,31,Taco Bell,484,Other
Female,4,34,Taco Bell,485,Hispanic
Female,4,26,Burger King,486,Other
Female,1,19,Burger King,487,Black
Male,2,34,Taco Bell,488,White
Female,5,31,Burger King,489,White
Female,3,30,Burger King,490,Black
Male,1,31,Taco Bell,491,White
Male,4,16,Taco Bell,492,Hispanic
Male,4,30,Taco Bell,493,Other
Male,2,28,KFC,494,Other
Female,4,21,Burger King,495,Other
Male,1,38,McDonald,496,White
Female,1,20,KFC,497,White
Female,1,32,Burger King,498,Hispanic
Male,4,29,KFC,499,Hispanic
Female,1,22,Burger King,500,Other
Male,3,28,Taco Bell,501,Black
Male,2,37,Taco Bell,502,Black
Male,3,37,McDonald,503,Other
Male,1,36,KFC,504,Other
Male,1,36,Taco Bell,505,Black
Male,1,19,McDonald,506,Other
Female,3,30,Taco Bell,507,Black
Male,2,32,Taco Bell,508,Other
Female,4,30,Burger King,509,White
Female,4,24,Burger King,510,Hispanic
Female,3,32,KFC,511,Black
Female,5,31,KFC,512,White
Female,3,30,McDonald,513,Other
Female,3,29,Taco Bell,514,Other
Female,4,32,McDonald,515,Hispanic
Female,4,28,McDonald,516,Other
Male,3,36,McDonald,517,Hispanic
Female,4,31,Burger King,518,Black
Female,3,39,Taco Bell,519,Black
Male,5,30,McDonald,520,Black
Female,3,32,Burger King,521,Hispanic
Male,4,30,McDonald,522,Other
Female,4,37,KFC,523,Black
Female,1,31,Burger King,524,Black
Female,2,30,Burger King,525,White
Female,5,27,McDonald,526,Black
Male,2,27,KFC,527,Hispanic
Male,2,27,Burger King,528,Hispanic
Male,5,40,Burger King,529,Other
Female,5,27,Burger King,530,Other
Female,5,30,KFC,531,White
Female,3,34,Burger King,532,Black
Male,4,29,Taco Bell,533,Black
Female,2,31,Burger King,534,Black
Female,1,29,McDonald,535,Black
Female,4,27,Burger King,536,White
Female,2,30,KFC,537,Black
Male,2,39,McDonald,538,Hispanic
Female,5,21,Burger King,539,Hispanic
Female,4,28,Burger King,540,Black
Female,5,28,KFC,541,Black
Male,4,26,Taco Bell,542,Black
Male,2,28,McDonald,543,Black
Male,3,39,Burger King,544,Black
Male,5,34,Taco Bell,545,Hispanic
Female,4,31,KFC,546,Other
Male,1,35,Burger King,547,Black
Male,1,30,McDonald,548,Hispanic
Male,3,31,McDonald,549,White
Female,3,31,McDonald,550,Other
Female,1,23,McDonald,551,Other
Female,1,27,Burger King,552,Black
Female,2,27,Taco Bell,553,Hispanic
Male,2,29,Taco Bell,554,White
Female,5,23,Taco Bell,555,Black
Female,5,30,KFC,556,White
Male,3,29,Burger King,557,Black
Female,1,30,McDonald,558,Black
Male,5,24,Burger King,559,White
Male,1,29,Burger King,560,Hispanic
Female,1,29,Burger King,561,Black
Male,1,34,McDonald,562,White
Female,5,32,KFC,563,Other
Male,4,23,Taco Bell,564,Hispanic
Female,4,38,McDonald,565,Hispanic
Female,4,34,Burger King,566,Black
Male,3,28,KFC,567,Black
Female,3,27,Burger King,568,White
Female,5,32,Burger King,569,Hispanic
Male,1,28,McDonald,570,Black
Male,4,34,KFC,571,Hispanic
Female,3,24,Burger King,572,Black
Male,1,25,McDonald,573,Hispanic
Male,2,28,McDonald,574,White
Male,2,35,McDonald,575,Black
Female,3,29,Burger King,576,White
Male,5,35,Burger King,577,Hispanic
Female,3,36,Taco Bell,578,White
Male,3,22,McDonald,579,Hispanic
Female,3,32,Taco Bell,580,Black
Male,4,32,Taco Bell,581,Hispanic
Male,5,31,KFC,582,Hispanic
Female,5,33,McDonald,583,Hispanic
Female,1,29,Burger King,584,Hispanic
Female,1,28,McDonald,585,Other
Male,5,33,KFC,586,Black
Female,3,32,McDonald,587,White
Female,1,26,KFC,588,White
Female,1,28,McDonald,589,Black
Female,5,32,Taco Bell,590,Black
Male,2,31,Burger King,591,White
Male,1,28,Burger King,592,White
Female,1,28,KFC,593,Black
Male,3,28,McDonald,594,White
Male,2,27,KFC,595,Hispanic
Male,4,24,McDonald,596,White
Female,3,33,KFC,597,Other
Female,3,37,McDonald,598,Hispanic
Female,3,35,KFC,599,Black
Female,3,39,Taco Bell,600,Other
Male,1,25,Burger King,601,Other
Female,1,29,Burger King,602,Hispanic
Male,2,31,Burger King,603,Black
Female,2,20,Taco Bell,604,Hispanic
Female,1,29,Taco Bell,605,Other
Male,5,27,KFC,606,Black
Female,4,18,Taco Bell,607,White
Male,2,34,McDonald,608,White
Female,1,33,Taco Bell,609,Black
Male,1,31,McDonald,610,Black
Male,1,40,Taco Bell,611,Black
Male,1,32,Burger King,612,White
Female,5,27,Taco Bell,613,White
Female,2,21,Burger King,614,Other
Male,3,32,McDonald,615,Black
Female,4,29,McDonald,616,Other
Female,2,24,KFC,617,Hispanic
Female,5,22,Burger King,618,White
Female,1,32,Taco Bell,619,Hispanic
Female,4,28,KFC,620,Black
Male,3,23,McDonald,621,Hispanic
Male,1,25,McDonald,622,Other
Female,5,21,KFC,623,Hispanic
Female,3,31,Burger King,624,Other
Male,4,40,KFC,625,Other
Male,2,27,KFC,626,Hispanic
Female,2,33,Burger King,627,Hispanic
Male,3,26,Taco Bell,628,White
Female,3,22,McDonald,629,White
Female,4,31,Taco Bell,630,Other
Male,4,26,KFC,631,Other
Female,2,31,Taco Bell,632,Black
Male,5,34,McDonald,633,Black
Female,3,30,KFC,634,Other
Female,5,21,McDonald,635,Other
Female,5,37,KFC,636,Other
Male,4,34,KFC,637,Black
Female,1,24,Taco Bell,638,White
Female,3,25,McDonald,639,Hispanic
Male,2,36,Burger King,640,White
Male,2,20,McDonald,641,Other
Female,2,27,Burger King,642,Black
Female,5,35,Burger King,643,Black
Female,4,33,McDonald,644,Black
Female,4,34,Burger King,645,White
Male,3,31,KFC,646,Hispanic
Male,1,35,Burger King,647,Other
Male,4,25,Taco Bell,648,Black
Male,5,34,Burger King,649,Other
Female,2,34,KFC,650,Hispanic
Male,1,36,McDonald,651,Other
Male,1,35,McDonald,652,Black
Female,4,35,Taco Bell,653,Black
Male,4,30,Burger King,654,Hispanic
Male,4,27,Taco Bell,655,White
Female,5,28,Burger King,656,Other
Male,5,40,Taco Bell,657,Other
Female,5,35,KFC,658,White
Female,5,26,Taco Bell,659,Hispanic
Female,2,29,Burger King,660,White
Female,1,25,McDonald,661,Black
Female,5,29,Burger King,662,Black
Female,5,25,Taco Bell,663,Other
Male,4,34,KFC,664,Other
Male,2,29,McDonald,665,Hispanic
Female,5,35,McDonald,666,Other
Male,4,28,Burger King,667,White
Male,3,29,Taco Bell,668,Other
Male,5,17,Taco Bell,669,Black
Male,1,26,KFC,670,White
Female,3,30,Burger King,671,Black
Female,2,26,Burger King,672,White
Female,4,37,McDonald,673,White
Male,4,26,McDonald,674,Other
Male,5,30,Burger King,675,White
Male,2,38,KFC,676,Black
Male,2,37,Taco Bell,677,Black
Male,2,32,KFC,678,White
Male,5,25,KFC,679,White
Male,2,29,McDonald,680,Black
Female,2,27,Taco Bell,681,Hispanic
Male,3,29,Taco Bell,682,White
Female,4,31,KFC,683,White
Male,2,34,McDonald,684,White
Female,2,38,McDonald,685,Hispanic
Female,2,27,KFC,686,Hispanic
Male,5,30,Burger King,687,Hispanic
Female,1,33,Burger King,688,White
Male,5,30,Burger King,689,Other
Female,2,34,KFC,690,White
Male,4,30,Taco Bell,691,Hispanic
Female,3,32,KFC,692,Hispanic
Female,5,34,Taco Bell,693,Other
Male,5,35,Taco Bell,694,Hispanic
Male,1,36,McDonald,695,Hispanic
Male,1,33,Taco Bell,696,Hispanic
Male,4,29,Burger King,697,Other
Male,1,27,Taco Bell,698,Other
Male,5,32,McDonald,699,Other
Male,5,32,Taco Bell,700,White
Male,1,33,McDonald,701,Hispanic
Male,2,23,KFC,702,Other
Male,5,37,Taco Bell,703,Black
Male,3,29,Taco Bell,704,Hispanic
Female,1,31,Burger King,705,Black
Female,5,30,KFC,706,Hispanic
Male,4,25,Taco Bell,707,Other
Male,2,39,Taco Bell,708,White
Male,1,26,Burger King,709,Other
Male,1,35,KFC,710,White
Female,2,31,Taco Bell,711,Hispanic
Male,5,27,KFC,712,Other
Male,4,30,McDonald,713,White
Female,5,25,Burger King,714,Hispanic
Female,3,27,McDonald,715,Other
Male,3,28,Burger King,716,Black
Female,5,29,KFC,717,Other
Female,3,36,Burger King,718,White
Female,1,26,McDonald,719,Hispanic
Female,2,32,McDonald,720,Other
Female,5,28,KFC,721,Other
Male,1,29,Burger King,722,White
Female,1,25,McDonald,723,Other
Female,5,31,McDonald,724,White
Male,3,31,Taco Bell,725,Other
Female,1,35,Taco Bell,726,Black
Male,4,28,Burger King,727,Black
Male,3,23,Burger King,728,Black
Male,3,27,Taco Bell,729,White
Male,2,33,Burger King,730,White
Female,2,36,Burger King,731,Hispanic
Male,2,28,Burger King,732,Other
Female,2,42,KFC,733,Black
Female,5,30,Taco Bell,734,Other
Male,3,33,Burger King,735,Other
Female,1,24,Burger King,736,Hispanic
Female,5,29,Taco Bell,737,Other
Male,1,36,KFC,738,White
Male,4,27,Taco Bell,739,Other
Female,3,39,Burger King,740,Hispanic
Male,3,30,KFC,741,White
Female,2,23,McDonald,742,Black
Male,1,18,McDonald,743,White
Female,5,34,McDonald,744,Other
Male,2,28,McDonald,745,White
Male,1,29,McDonald,746,Hispanic
Male,5,40,KFC,747,Other
Female,1,37,Taco Bell,748,Hispanic
Female,5,31,Burger King,749,White
Male,5,27,Taco Bell,750,Other
Female,4,37,KFC,751,White
Male,3,36,Taco Bell,752,Hispanic
Female,4,27,Taco Bell,753,Black
Female,4,26,Taco Bell,754,Hispanic
Male,3,23,Taco Bell,755,Black
Female,1,28,KFC,756,Other
Female,3,33,Burger King,757,Black
Female,3,27,McDonald,758,Hispanic
Female,3,30,Burger King,759,White
Female,2,28,Taco Bell,760,White
Female,3,29,KFC,761,Black
Male,1,37,Taco Bell,762,Black
Male,1,37,Burger King,763,Black
Male,5,37,KFC,764,Other
Female,4,18,McDonald,765,Black
Male,4,25,Burger King,766,Hispanic
Female,5,29,Burger King,767,White
Male,1,33,Burger King,768,Hispanic
Female,4,28,McDonald,769,White
Female,2,33,KFC,770,White
Male,4,36,Burger King,771,Other
Male,5,29,McDonald,772,White
Female,4,26,McDonald,773,Black
Male,2,40,KFC,774,Other
Male,2,34,McDonald,775,Black
Female,5,29,McDonald,776,Black
Female,2,33,KFC,777,White
Female,1,30,KFC,778,Other
Male,5,23,Taco Bell,779,Black
Male,3,33,Burger King,780,Black
Male,4,23,Burger King,781,Hispanic
Female,1,20,KFC,782,Black
Male,3,41,Taco Bell,783,Hispanic
Female,1,28,KFC,784,Other
Male,5,23,Taco Bell,785,Black
Female,5,26,McDonald,786,Hispanic
